"R","m","logLik","K","AICc","dAICc"
"diagonal and unequal",2,-331.086892641487,26,718.949295487056,0
"unconstrained",1,-300.527250011505,54,731.385327090678,12.4360316036219
"unconstrained",2,-292.159553887018,62,738.598177541478,19.648882054422
"diagonal and equal",2,-353.749512883067,18,745.763926428386,26.8146309413299
"equalvarcov",2,-353.258535382869,19,747.041987709259,28.0926922222025
"diagonal and unequal",1,-355.436084849954,18,749.13707036216,30.1877748751035
"equalvarcov",1,-380.599977031222,11,784.054322994482,65.1050275074259
"diagonal and equal",1,-381.952744361077,10,784.615166141509,65.6658706544528
