"YEAR","est","lwr","upr","log_est","se","log10_est","log10_lwr","log10_upr"
2000,23432767.0114122,4929269.05002878,111394724.905089,16.9696459004557,0.795394529409861,7.36982357442005,6.69278252352172,8.04686462531837
2003,105859.225133411,52833.561516491,212103.352948265,11.5698654256555,0.354579741562134,5.02472871072538,4.72290988751497,5.3265475339358
2004,3077413.61443537,1203945.25391862,7866200.33052795,14.9396000666014,0.478827999062338,6.48818587076644,6.0806067390301,6.89576500250279
2005,622748.26434584,212755.116473552,1822825.26114462,13.3418976460404,0.547969533693553,5.79431252579333,5.32788001307865,6.26074503850801
2006,1607241.23617091,362124.344675651,7133528.66005718,14.2900297493034,0.76036439222961,6.20608106635576,5.55885772228429,6.85330441042723
2007,3447969.04655225,1538683.50474614,7726404.10410058,15.0532959335074,0.411669907272358,6.53756335837892,6.18714929801358,6.88797741874427
2008,21534649.528062,12919215.3366818,35895456.3579224,16.885173801811,0.260692279971358,7.33313780810385,7.11123613708803,7.55503947911967
2009,19228887.558314,9256775.92179914,39943725.5318606,16.77192426661,0.372995574904512,7.28395415988796,6.96645975091693,7.60144856885899
2010,41120698.9868202,21969440.4749793,76966543.007339,17.5320221776734,0.319832000111057,7.614060488369,7.34181899630497,7.88630198043302
2011,33236089.567763,17764223.8225889,62183276.9496916,17.3191468786654,0.319623109662483,7.5216099206763,7.24954623648446,7.79367360486814
2012,29317365.6616033,19347202.7446624,44425436.6214922,17.1936905831154,0.21206112989991,7.46712494379894,7.28661818277225,7.64763170482563
2014,3111848.09860034,1405629.42722043,6889154.70979533,14.9507273515854,0.405482757090361,6.49301838923354,6.14787084065121,6.83816593781587
2015,1286550.15061941,389245.782680503,4252355.10237353,14.067474892159,0.609964594465375,6.1094267199772,5.59022391586185,6.62862952409255
2016,582400.144561455,158233.667318668,2143601.51118855,13.2749130240814,0.66485145021884,5.76522147410415,5.19929889366924,6.33114405453906
2017,4043146.33235959,1162935.60628894,14056695.9825386,15.2125337419723,0.635764580603735,6.60671945990558,6.06555566777434,7.14788325203683
2018,107553.629037414,25409.091802153,455261.573659924,11.5857448769199,0.736178090196993,5.03162506878516,4.40498914232851,5.65826099524181
2019,772151.136492556,132539.523298722,4498411.96608932,13.5569355825047,0.899148875912748,5.88770231499964,5.1223454042428,6.65305922575647
2020,3893336.34839511,988125.917475433,15340218.9474616,15.1747770211125,0.699610613501886,6.59032192438142,5.99481229051913,7.18583155824372
2022,697926.159434283,137154.187887684,3551484.14732752,13.4558685873724,0.830121149784278,5.84380947671113,5.13720907295946,6.5504098804628
2023,1749901.6520302,333377.829965912,9185241.23842044,14.3750701454806,0.845953501326593,6.2430136411544,5.52293671533719,6.9630905669716
