"year","bottom.temp"
1975,0.982188278492176
1976,1.12784729221749
1977,2.74023427758793
1978,3.31030709944061
1979,3.77250659419562
1980,3.29762736054908
1981,3.92555498570951
1982,2.90555448593161
1983,2.65805414772138
1984,1.38743122800183
1985,1.96384081618469
1986,1.53856016790573
1987,3.74982181773737
1988,1.82353954579612
1989,3.43240006684819
1990,2.06623507787165
1991,2.48991579803155
1992,0.714668754092165
1993,2.94038027512315
1994,1.10469343315579
1995,0.796940086177476
1996,3.16629896652316
1997,2.32394099981013
1998,3.09109473175932
1999,1.91044280635674
2000,2.62702604104504
2001,3.03124071347494
2002,3.29638586900949
2003,3.8690674984058
2004,3.29917872688442
2005,3.79725745208474
2006,1.74747140560251
2007,0.889603661667675
2008,0.951005641756129
2009,0.382045589633404
2010,0.264994543117226
2011,2.58623616557357
2012,0.202818485061962
2013,0.922859356275822
2014,3.13323247421256
2015,3.51794416389766
2016,4.54785795816931
2017,2.18663634498046
2018,4.40535799378023
2019,4.26227536878874
2020,NA
2021,3.96507362928694
2022,1.94690158101557
2023,2.94693696624718
2024,2.5623148116052
