"R","m","logLik","K","AICc","dAICc"
"unconstrained",1,-299.937197555729,54,729.6326368697,0
"unconstrained",2,-289.30229980141,62,732.08384488584,2.45120801613996
"diagonal and unequal",2,-339.983474671805,26,736.631401170853,6.99876430115296
"diagonal and equal",2,-363.24145928342,18,764.69651079985,35.0638739301505
"equalvarcov",2,-363.059708970589,19,766.586950408711,36.9543135390118
"diagonal and unequal",1,-366.012843461457,18,770.239279155924,40.6066422862244
"equalvarcov",1,-390.803521307589,11,804.442485653153,74.8098487834529
"diagonal and equal",1,-392.244239745006,10,805.18248579916,75.5498489294607
