"t","estimate","conf.low","conf.high"
1972,-1.3767820602185,-2.22638582237336,-0.527178298063643
1973,-1.38290544030283,-2.18476878573463,-0.581042094871021
1974,-1.39857010264799,-2.19512685583457,-0.602013349461412
1975,-1.94529685830671,-2.57119303824858,-1.31940067836484
1976,-1.97706445233292,-2.60100616125329,-1.35312274341255
1977,-0.565326951968163,-1.18924896264147,0.0585950587051469
1978,0.49535610569558,-0.128565706758255,1.11927791814942
1979,1.39139907874907,0.767477268289843,2.01532088920829
1980,0.389267658289108,-0.234654152150044,1.01318946872826
1981,0.839768624522635,0.215846814083685,1.46369043496159
1982,0.661018171294077,0.0370963608552011,1.28493998173295
1983,0.011883930605207,-0.612037879826472,0.635805741036886
1984,-0.768351859351533,-1.3922736690681,-0.144430049634963
1985,-0.155980163085872,-0.779901901736645,0.467941575564901
1986,-0.220830931962826,-0.844745608230038,0.403083744304385
1987,0.697440069925256,0.0742276350411136,1.3206525048094
1988,-0.45268470023306,-1.00164778156515,0.0962783810990341
1989,1.03061303744871,0.482130399485261,1.57909567541216
1990,-0.608452143843572,-1.15693186992715,-0.0599724177599907
1991,-0.774075225293802,-1.32255493373673,-0.22559551685087
1992,-1.36291691478297,-1.91139662311903,-0.814437206446906
1993,0.0475375187856535,-0.500942189549577,0.596017227120884
1994,-0.819290415170046,-1.36777012347491,-0.270810706865179
1995,-1.34011471414134,-1.88859441743483,-0.791635010847845
1996,0.815844334274823,0.267365458193902,1.36432321035574
1997,0.000571337624366897,-0.547770975913729,0.548913651162462
1998,0.246817175672603,-0.278496819927796,0.772131171273002
1999,-0.771219490714148,-1.29623372106967,-0.246205260358627
2000,0.0419498520966219,-0.446580092535052,0.530479796728296
2001,0.97674515000952,0.451732458980098,1.50175784103894
2002,0.883799407650824,0.358787405845532,1.40881140945612
2003,1.00391894226946,0.515534917230436,1.49230296730849
2004,0.651923453881063,0.163684654350633,1.14016225341149
2005,0.861830979907447,0.37359273536731,1.35006922444758
2006,-0.493145167545493,-0.981383409965008,-0.00490692512597757
2007,-0.904878344640785,-1.3931165870522,-0.416640102229373
2008,-1.63087107076619,-2.1191093131776,-1.14263282835478
2009,-1.54919742353327,-2.03743566595274,-1.06095918111379
2010,-1.84924332055746,-2.33748156508679,-1.36100507602813
2011,-0.345773919825218,-0.8340127165274,0.142464876876964
2012,-2.0240135448092,-2.51239682988402,-1.53563025973438
2013,-1.26303273288238,-1.78786455763377,-0.738200908130984
2014,0.764600573144231,0.276217288069409,1.25298385821905
2015,0.817770842992714,0.329532046290392,1.30600963969504
2016,1.74842785433584,1.26018960977026,2.23666609890143
2017,0.519628477686112,0.0313902257784911,1.00786672959373
2018,2.0566578838652,1.56841715830521,2.54489860942518
2019,2.14546572064941,1.6565780406584,2.63435340064041
2020,1.09272481650714,0.456757921723036,1.72869171129124
2021,1.34577729100425,0.820140506875603,1.8714140751329
2022,0.311533582066926,-0.176853862908198,0.799921027042049
2023,0.396837675425376,-0.0916238831477808,0.885299233998533
2024,0.321033498730639,-0.222394526636969,0.864461524098248
