"","year","name","value"
"1",1998,"Bloom timing",149.296296296296
"2",1999,"Bloom timing",144.714285714286
"3",2000,"Bloom timing",144.571428571429
"4",2001,"Bloom timing",140.857142857143
"5",2002,"Bloom timing",137.428571428571
"6",2003,"Bloom timing",122
"7",2004,"Bloom timing",130.571428571429
"8",2005,"Bloom timing",128.285714285714
"9",2006,"Bloom timing",138.818181818182
"10",2007,"Bloom timing",124.68
"11",2008,"Bloom timing",134.714285714286
"12",2009,"Bloom timing",139.285714285714
"13",2010,"Bloom timing",127.285714285714
"14",2011,"Bloom timing",141.571428571429
"15",2012,"Bloom timing",131.745098039216
"16",2013,"Bloom timing",130.230769230769
"17",2014,"Bloom timing",127
"18",2015,"Bloom timing",138.142857142857
"19",2016,"Bloom timing",129.428571428571
"20",2017,"Bloom timing",106.857142857143
"21",2018,"Bloom timing",156.428571428571
"22",2019,"Bloom timing",130.571428571429
"23",2020,"Bloom timing",126.571428571429
"24",2021,"Bloom timing",139.857142857143
"25",2022,"Bloom timing",120.285714285714
"26",2023,"Bloom timing",137.714285714286
"27",2024,"Bloom timing",141.142857142857
"28",2025,"Bloom timing",NA
